/meka/addressee-meka/scatter/Viewing_Person0_Meka/	gaze/addressee	/meka/dialogact/dialogActInformer/	/meka/eval/mouth/dialogact/	meka-addressee	/videorecorder/open/	mouth/addressee	start_time	/videorecorder/start/	/videorecorder/stop/	robot-speaking	/meka/addressee-meka/scatter/Person0_Mouth/	filename	/meka/eval/gaze/dialogact/	trial	annotation_modifier	/meka/eval/all/dialogact/	/meka/addressee-meka/scatter/Addressee/	date	/videorecorder/close/	/meka/rejected/dialogact/dialogActInformer/
No			negation				388090				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	negation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D367E3}>
Yes		#<DIALOG-ACT {100EB10293}>	confirmation				390220				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	confirmation	2	shiftedAnnotationsExactly	confirmation	Meka	2016-02-26_13-42-09		
No							392714				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D3B3B3}>
Yes		#<DIALOG-ACT {100EB14A73}>	ok				397881				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	ok	2	shiftedAnnotationsExactly	ok	Meka	2016-02-26_13-42-09		
No			confirmation				398472				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	confirmation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D3FE83}>
Yes		#<DIALOG-ACT {100EB190B3}>	ok				400329				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	ok	2	shiftedAnnotationsExactly	ok	Meka	2016-02-26_13-42-09		
Yes							406253				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	negation	2	shiftedAnnotationsExactly	negation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D44703}>
Yes							409632				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	ok	2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D48FA3}>
Yes							410141				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	ok	2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D4D573}>
Yes							411680				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	negation	2	shiftedAnnotationsExactly	negation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D51B83}>
No	y			n - falsche Person		n	416220				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	lightOn	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D56453}>
Yes	y lightOn	#<DIALOG-ACT {100EB1DB23}>	lightOn	y			421692				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	lightOn	2	shiftedAnnotationsExactly	lightOn	Meka	2016-02-26_13-42-09		
Yes	y	#<DIALOG-ACT {100EB22833}>	lightOn	y		y	422780			y	Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	lightOn	2	shiftedAnnotationsExactly	lightOn	Meka	2016-02-26_13-42-09		
Yes		#<DIALOG-ACT {100EB274F3}>	confirmation				424071				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	confirmation	2	shiftedAnnotationsExactly	confirmation	Meka	2016-02-26_13-42-09		
Yes		#<DIALOG-ACT {100EB2BD03}>	ok				428000				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	ok	2	shiftedAnnotationsExactly	ok	Meka	2016-02-26_13-42-09		
Yes	y experimentsRequest	#<DIALOG-ACT {100EB307A3}>	experimentsRequest	y			429581				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	experimentsRequest	2	shiftedAnnotationsExactly	experimentsRequest	Meka	2016-02-26_13-42-09		
Yes		#<DIALOG-ACT {100EB35563}>	ok				431721				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	ok	2	shiftedAnnotationsExactly	ok	Meka	2016-02-26_13-42-09		
Yes							435985				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	negation	2	shiftedAnnotationsExactly	negation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D5B193}>
No							437870				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D5FA43}>
Yes							438862				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	negation	2	shiftedAnnotationsExactly	negation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D64513}>
No			confirmation				439796				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	confirmation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D68DD3}>
No	n			n		y	449281				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	lightOn	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D6D663}>
No							455860				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	negation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D723C3}>
Yes	gardenRequest y	#<DIALOG-ACT {100EB3A243}>	gardenRequest	y			457161				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	gardenRequest	2	shiftedAnnotationsExactly	gardenRequest	Meka	2016-02-26_13-42-09		
Yes							460093				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	ok	2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D76C73}>
No			confirmation				460948				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	confirmation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D7B7E3}>
No							461613				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	confirmation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D80073}>
No							474829				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D84903}>
No							476549				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	negation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D894B3}>
Yes		#<DIALOG-ACT {100EB3EED3}>	negation				478506				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	negation	2	shiftedAnnotationsExactly	negation	Meka	2016-02-26_13-42-09		
Yes		#<DIALOG-ACT {100EB43743}>	ok				479287				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	ok	2	shiftedAnnotationsExactly	ok	Meka	2016-02-26_13-42-09		
Yes	y packetRequest	#<DIALOG-ACT {100EB47D03}>	packetRequest	y			480458				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	packetRequest	2	shiftedAnnotationsExactly	packetRequest	Meka	2016-02-26_13-42-09		
No	y		packetRequest	n		n	482668			y	Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	packetRequest	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D8DDA3}>
No							484591				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D92B63}>
Yes							490681				Stable	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf	confirmation	2	shiftedAnnotationsExactly	confirmation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D973C3}>
No			ok				493340				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	ok	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011D9BC43}>
No			confirmation				495839				Moving	study2_11_2016-02-26_13-42-09-shiftedAnnotationsExactly.eaf		2	shiftedAnnotationsExactly	confirmation	Other	2016-02-26_13-42-09		#<DIALOG-ACT {1011DA0733}>
